date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:32	136/136	---MCZ	200	added ('OK')	text/plain	date:Wed,%2003%20Mar%202021%2004:18:32%20GMT	https://www.ozonenotes.jp/robots.txt		(from )
11:18:32	14703/14703	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Mar%202021%2004:18:32%20GMT	https://www.ozonenotes.jp/order-form/	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/order-form/index.html	(from )
11:18:33	19064/19064	---MCZ	200	added ('OK')	text/css	etag:W/%224a78-5b6d21528fbf8%22	https://www.ozonenotes.jp/form_core/css/jquery-ui.min.css	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/form_core/css/jquery-ui.min.css	(from https://www.ozonenotes.jp/order-form/)
11:18:33	685/685	---M--	200	added ('OK')	text/css	etag:%222ad-5b6d215b1c398%22	https://www.ozonenotes.jp/form_core/js/jQuery-File-Upload-9.14.2/css/jquery.fileupload.css	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/form_core/js/jQuery-File-Upload-9.14.2/css/jquery.fileupload.css	(from https://www.ozonenotes.jp/order-form/)
11:18:33	8217/8217	---MCZ	200	added ('OK')	text/css	etag:W/%222019-5b6d215041a90%22	https://www.ozonenotes.jp/form_core/css/ozn-form.min.css	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/form_core/css/ozn-form.min.css	(from https://www.ozonenotes.jp/order-form/)
11:18:33	1941/1941	---MCZ	200	added ('OK')	text/css	etag:W/%22795-55c4bba2ecf41%22	https://www.ozonenotes.jp/order-form/css/style.min.css	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/order-form/css/style.min.css	(from https://www.ozonenotes.jp/order-form/)
11:18:34	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%22573f46fe-17b8b%22	https://code.jquery.com/jquery-1.12.4.min.js	C:/My%20Web%20Sites/html-clone/code.jquery.com/jquery-1.12.4.min.js	(from https://www.ozonenotes.jp/order-form/)
11:18:34	9626/9626	---MCZ	200	added ('OK')	application/javascript	etag:W/%22259a-5b6d21503a948%22	https://www.ozonenotes.jp/form_core/js/ajaxzip3.js	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/form_core/js/ajaxzip3.js	(from https://www.ozonenotes.jp/order-form/)
11:18:34	36675/36675	---MCZ	200	added ('OK')	application/javascript	etag:W/%228f43-5b6d21547f1c0%22	https://www.ozonenotes.jp/form_core/js/jquery-ui.min.js	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/form_core/js/jquery-ui.min.js	(from https://www.ozonenotes.jp/order-form/)
11:18:34	1174/1174	---MCZ	200	added ('OK')	application/javascript	etag:W/%22496-5b6d21528fbf8%22	https://www.ozonenotes.jp/form_core/js/datepicker-ja.js	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/form_core/js/datepicker-ja.js	(from https://www.ozonenotes.jp/order-form/)
11:18:35	884/884	---MC-	200	added ('OK')	text/javascript	date:Wed,%2003%20Mar%202021%2004:18:35%20GMT	https://www.google.com/recaptcha/api.js?render=6Leu6LIUAAAAAGom3z6WjRiPcBVoYU6ZylRGUQFf	C:/My%20Web%20Sites/html-clone/www.google.com/recaptcha/api9216.js	(from https://www.ozonenotes.jp/order-form/)
11:18:35	6654/6654	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219fe-5b6d215a35448%22	https://www.ozonenotes.jp/form_core/js/jquery.autoKana.js	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/form_core/js/jquery.autoKana.js	(from https://www.ozonenotes.jp/order-form/)
11:18:35	13323/13323	---MCZ	200	added ('OK')	application/javascript	etag:W/%22340b-5b6d21537c138%22	https://www.ozonenotes.jp/form_core/js/domain_suggest.js	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/form_core/js/domain_suggest.js	(from https://www.ozonenotes.jp/order-form/)
11:18:35	12953/12953	---MCZ	200	added ('OK')	application/javascript	etag:W/%223299-5b6d214fd38d8%22	https://www.ozonenotes.jp/form_core/js/utilities.js	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/form_core/js/utilities.js	(from https://www.ozonenotes.jp/order-form/)
11:18:36	1236/1236	---MCZ	200	added ('OK')	application/javascript	etag:W/%224d4-5b6d2151b3888%22	https://www.ozonenotes.jp/form_core/config/oznform_config.js	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/form_core/config/oznform_config.js	(from https://www.ozonenotes.jp/order-form/)
11:18:36	22228/22228	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256d4-5b6d2159e04e8%22	https://www.ozonenotes.jp/form_core/js/ozn-form.js	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/form_core/js/ozn-form.js	(from https://www.ozonenotes.jp/order-form/)
11:18:36	6992/6992	---M--	200	added ('OK')	image/png	etag:%221b50-5b6d2150ca228%22	https://www.ozonenotes.jp/form_core/css/images/ui-icons_444444_256x240.png	C:/My%20Web%20Sites/html-clone/www.ozonenotes.jp/form_core/css/images/ui-icons_444444_256x240.png	(from https://www.ozonenotes.jp/form_core/css/jquery-ui.min.css)
